               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10486,             0.08012,            0.033238,             0.02989,             0.20106,            0.015349,           0.0043283,             0.09466,            0.056815,            0.021964,            0.070082,           0.0033243,           0.0033243
                   1,            0.079933,            0.064209,           0.0081085,             0.47125,             0.68012,             0.58089,             0.22814,            0.059509,            0.042282,           0.0017862,            0.039972,           0.0065477,           0.0065477
                   2,            0.067748,            0.056836,            0.003381,              0.5786,             0.69831,             0.68269,              0.2981,            0.055082,            0.036998,           0.0019789,            0.009752,           0.0096612,           0.0096612
                   3,            0.059089,             0.05323,           0.0025699,             0.74966,             0.72084,             0.73872,             0.32068,            0.050946,            0.037894,           0.0014242,            0.009505,            0.009505,            0.009505
                   4,            0.053477,             0.05128,           0.0020697,             0.87618,             0.84608,             0.87109,             0.43132,            0.040431,            0.032677,           0.0012868,            0.009505,            0.009505,            0.009505
                   5,            0.048861,            0.049644,           0.0019145,             0.86981,             0.86198,             0.88636,             0.43961,            0.038547,            0.031201,           0.0013316,             0.00934,             0.00934,             0.00934
                   6,            0.046619,             0.04756,           0.0015558,              0.8955,             0.85413,             0.89683,             0.51845,            0.036613,            0.030822,          0.00096985,            0.009175,            0.009175,            0.009175
                   7,            0.044271,            0.047048,           0.0014606,             0.91325,             0.88593,             0.91246,             0.53632,            0.035027,            0.029784,          0.00099522,             0.00901,             0.00901,             0.00901
                   8,            0.043113,            0.045851,           0.0013107,             0.90748,             0.88409,             0.91066,             0.50665,            0.035056,            0.029852,          0.00092868,            0.008845,            0.008845,            0.008845
                   9,            0.042192,            0.045907,           0.0013028,             0.90712,             0.88858,              0.9181,              0.5524,            0.034406,            0.029825,          0.00080458,             0.00868,             0.00868,             0.00868
                  10,            0.041262,             0.04485,           0.0012221,             0.91346,             0.89915,             0.92218,             0.55185,            0.033246,            0.028934,          0.00080928,            0.008515,            0.008515,            0.008515
                  11,            0.040434,            0.043818,           0.0010748,             0.91908,              0.8995,             0.92604,              0.5739,            0.032766,            0.028972,          0.00082125,             0.00835,             0.00835,             0.00835
                  12,            0.039884,             0.04331,            0.001095,             0.91953,             0.89069,             0.92717,             0.56943,            0.032423,            0.028843,          0.00076405,            0.008185,            0.008185,            0.008185
                  13,            0.038968,            0.043231,           0.0010966,             0.92124,             0.89838,             0.92987,             0.59142,            0.032097,            0.028286,          0.00076491,             0.00802,             0.00802,             0.00802
                  14,            0.038813,             0.04279,           0.0010435,              0.9118,             0.91172,              0.9333,             0.58773,            0.031577,            0.028563,          0.00070636,            0.007855,            0.007855,            0.007855
                  15,            0.038233,            0.042655,           0.0009354,             0.91524,             0.90553,             0.92796,             0.59819,            0.031825,            0.028199,          0.00075394,             0.00769,             0.00769,             0.00769
                  16,            0.038102,            0.042526,          0.00096445,             0.91786,             0.90683,             0.93866,             0.60075,            0.031676,            0.028114,           0.0007096,            0.007525,            0.007525,            0.007525
                  17,            0.037591,            0.041802,           0.0010823,             0.92218,             0.91182,             0.93956,             0.59455,            0.031157,            0.028086,          0.00082706,             0.00736,             0.00736,             0.00736
                  18,            0.037163,            0.041086,          0.00092549,             0.92792,             0.91123,             0.94297,             0.59591,            0.030437,            0.027518,          0.00067142,            0.007195,            0.007195,            0.007195
                  19,            0.036863,            0.041776,           0.0008687,             0.91961,             0.92094,             0.94534,             0.61529,            0.030666,            0.027567,            0.000705,             0.00703,             0.00703,             0.00703
                  20,            0.036509,            0.041152,          0.00084156,              0.9249,             0.91539,             0.94233,              0.6038,            0.030488,            0.027489,           0.0006706,            0.006865,            0.006865,            0.006865
                  21,            0.036508,            0.040767,          0.00082095,             0.92826,             0.91591,             0.94392,             0.60725,            0.030422,            0.027318,           0.0006654,              0.0067,              0.0067,              0.0067
                  22,            0.036204,             0.04121,          0.00085508,             0.93302,             0.91326,             0.94684,             0.62542,            0.030159,            0.027217,          0.00064428,            0.006535,            0.006535,            0.006535
                  23,             0.03586,            0.040625,          0.00087616,             0.92358,             0.91649,             0.94398,             0.62582,            0.030022,            0.027356,          0.00065768,             0.00637,             0.00637,             0.00637
                  24,            0.035695,            0.040049,          0.00079825,             0.92701,             0.91444,             0.94142,             0.62665,            0.029665,            0.027438,          0.00063015,            0.006205,            0.006205,            0.006205
                  25,            0.035462,            0.040225,          0.00086235,             0.92396,             0.92625,             0.94428,               0.611,            0.029774,            0.027408,           0.0006434,             0.00604,             0.00604,             0.00604
                  26,            0.035426,            0.040601,           0.0008054,              0.9359,             0.92056,             0.94722,              0.6357,            0.029505,            0.027063,          0.00060838,            0.005875,            0.005875,            0.005875
                  27,            0.035133,            0.039941,          0.00064848,             0.93325,             0.91929,             0.94669,             0.62739,            0.029387,            0.026886,          0.00061333,             0.00571,             0.00571,             0.00571
                  28,            0.034991,            0.039961,          0.00063435,             0.93052,             0.92279,             0.94963,             0.62076,            0.029453,            0.026932,          0.00061465,            0.005545,            0.005545,            0.005545
                  29,            0.034723,            0.039233,          0.00069488,             0.93764,             0.91949,             0.95039,             0.63441,            0.029219,            0.026583,          0.00061572,             0.00538,             0.00538,             0.00538
                  30,            0.034642,            0.039864,          0.00067164,             0.92862,             0.92743,             0.94947,             0.63423,            0.029199,            0.026789,          0.00059262,            0.005215,            0.005215,            0.005215
                  31,            0.034483,            0.039594,          0.00065003,             0.93152,             0.92307,             0.94899,             0.63477,            0.029111,            0.026687,          0.00058907,             0.00505,             0.00505,             0.00505
                  32,            0.034159,            0.038971,          0.00062184,             0.93554,             0.92656,             0.94815,               0.642,            0.028901,            0.026542,          0.00059183,            0.004885,            0.004885,            0.004885
                  33,            0.033926,            0.038305,          0.00056582,             0.93104,             0.93168,             0.95105,             0.64082,            0.028841,            0.026475,          0.00060915,             0.00472,             0.00472,             0.00472
                  34,            0.033938,            0.038468,          0.00078961,              0.9347,             0.93005,             0.95172,             0.64581,            0.028643,            0.026501,          0.00060181,            0.004555,            0.004555,            0.004555
                  35,             0.03379,            0.038702,          0.00069946,             0.93735,             0.92853,             0.95256,             0.64368,            0.028736,            0.026407,          0.00059604,             0.00439,             0.00439,             0.00439
                  36,            0.033759,            0.038761,          0.00077271,              0.9368,             0.93015,             0.95388,             0.64319,            0.028374,             0.02614,          0.00057934,            0.004225,            0.004225,            0.004225
                  37,            0.033388,            0.038442,          0.00061715,             0.93518,              0.9316,             0.95319,             0.64357,            0.028401,            0.026227,          0.00059012,             0.00406,             0.00406,             0.00406
                  38,             0.03329,            0.038588,          0.00057724,              0.9369,             0.92683,             0.95058,             0.64808,            0.028144,            0.026165,          0.00056708,            0.003895,            0.003895,            0.003895
                  39,            0.033003,            0.037518,          0.00060898,             0.94054,             0.93195,             0.95349,             0.64911,            0.027884,            0.026014,          0.00058946,             0.00373,             0.00373,             0.00373
                  40,            0.032851,            0.037221,           0.0006085,             0.94298,             0.92843,             0.95483,             0.65282,            0.028015,            0.026152,          0.00054602,            0.003565,            0.003565,            0.003565
                  41,            0.032846,            0.038006,          0.00064095,             0.93397,             0.93249,             0.95158,             0.65342,            0.027993,             0.02621,          0.00055379,              0.0034,              0.0034,              0.0034
                  42,            0.032718,            0.037049,          0.00066527,             0.94421,             0.92383,             0.95422,             0.65504,             0.02791,            0.025872,          0.00058481,            0.003235,            0.003235,            0.003235
                  43,            0.032719,            0.038185,          0.00060031,             0.94433,              0.9311,             0.95753,             0.65298,            0.027937,            0.025806,          0.00056839,             0.00307,             0.00307,             0.00307
                  44,            0.032671,            0.038398,          0.00046237,             0.94557,             0.92899,              0.9568,             0.65726,            0.027661,            0.025751,          0.00059677,            0.002905,            0.002905,            0.002905
                  45,            0.032507,            0.038329,          0.00056264,             0.93472,             0.93721,             0.95666,             0.65859,            0.027648,            0.025777,          0.00060397,             0.00274,             0.00274,             0.00274
                  46,            0.032229,            0.037461,          0.00053384,             0.94377,             0.92813,             0.95656,             0.65911,            0.027641,            0.025723,          0.00059035,            0.002575,            0.002575,            0.002575
                  47,            0.032147,            0.037029,          0.00056983,             0.94155,             0.93334,             0.95609,             0.66061,            0.027452,            0.025579,          0.00053888,             0.00241,             0.00241,             0.00241
                  48,            0.031832,            0.037315,          0.00062665,             0.94655,             0.93006,             0.95704,             0.66099,            0.027445,            0.025518,          0.00059131,            0.002245,            0.002245,            0.002245
                  49,            0.031791,             0.03699,           0.0006293,              0.9457,             0.92996,             0.95602,             0.66116,            0.027412,            0.025729,          0.00056926,             0.00208,             0.00208,             0.00208
                  50,            0.031508,            0.036217,          0.00052349,             0.95053,             0.93071,             0.95717,             0.66275,            0.027326,            0.025509,          0.00051719,            0.001915,            0.001915,            0.001915
                  51,             0.03135,            0.036553,          0.00058972,             0.94902,             0.92858,             0.95625,             0.66497,            0.027293,            0.025563,          0.00057954,             0.00175,             0.00175,             0.00175
                  52,            0.031721,            0.036764,          0.00052123,             0.95395,             0.92873,             0.95842,             0.66212,            0.027226,            0.025425,          0.00054723,            0.001585,            0.001585,            0.001585
                  53,             0.03137,            0.036002,          0.00052521,             0.95012,             0.93334,             0.95916,             0.66531,            0.027113,            0.025342,          0.00056806,             0.00142,             0.00142,             0.00142
                  54,            0.031331,             0.03749,          0.00050282,             0.94626,             0.93651,              0.9584,             0.66428,            0.027008,            0.025271,          0.00056488,            0.001255,            0.001255,            0.001255
                  55,            0.031522,            0.037664,          0.00049127,             0.94418,             0.93928,             0.95699,             0.66477,            0.026991,            0.025337,          0.00056457,             0.00109,             0.00109,             0.00109
                  56,            0.031072,            0.036037,          0.00046769,             0.95063,             0.93496,             0.96082,             0.66973,            0.026979,            0.025244,          0.00058928,            0.000925,            0.000925,            0.000925
                  57,            0.031077,            0.036995,          0.00044585,             0.93936,             0.94275,             0.95888,             0.66555,            0.026932,            0.025211,          0.00057701,             0.00076,             0.00076,             0.00076
                  58,            0.030911,             0.03675,          0.00045035,             0.94664,             0.93639,              0.9581,             0.66754,            0.026908,            0.025176,          0.00055849,            0.000595,            0.000595,            0.000595
                  59,            0.030762,            0.036115,          0.00041771,               0.951,             0.93318,             0.95915,             0.67014,            0.026835,            0.025098,          0.00056163,             0.00043,             0.00043,             0.00043
